epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,9.999999747378752e-06,0.4331207871437073,0.9864193797111511,2.4562013149261475,0.507788896560669
1,9.999999747378752e-06,0.029206886887550354,0.9935584664344788,2.2829158306121826,0.5610471963882446
2,9.999999747378752e-06,0.015042981132864952,0.995897114276886,3.3000783920288086,0.4427860677242279
3,9.999999747378752e-06,0.004469325300306082,0.997251033782959,3.3025434017181396,0.49620747566223145
4,9.999999747378752e-06,0.006095063406974077,0.9973331093788147,1.755637526512146,0.6891770362854004
5,9.999999747378752e-06,0.003163224318996072,0.9987280964851379,1.938975214958191,0.6566348671913147
6,9.999999747378752e-06,0.00303465174511075,0.9990768432617188,2.384538412094116,0.6320855021476746
7,9.999999747378752e-06,0.0011096859816461802,0.9994460940361023,2.096601963043213,0.6971698999404907
8,1.9999999949504854e-06,0.002414960879832506,0.9989742636680603,1.5194854736328125,0.7837859988212585
9,1.9999999949504854e-06,0.001190763432532549,0.9997333288192749,1.46974778175354,0.7788923978805542
10,1.9999999949504854e-06,0.0016326762270182371,0.9998359084129333,1.4308953285217285,0.798222005367279
11,1.9999999949504854e-06,0.0009432187653146684,0.9999589920043945,1.541480302810669,0.7734279632568359
12,1.9999999949504854e-06,0.00037711943150497973,0.9999589920043945,1.5166311264038086,0.7642933130264282
13,1.9999999949504854e-06,0.0001761937019182369,0.9999794960021973,1.3492494821548462,0.8005872368812561
14,1.9999999949504854e-06,0.0009903479367494583,0.9999589920043945,1.3815903663635254,0.7924312949180603
15,1.9999999949504854e-06,0.00011985692981397733,0.9999794960021973,1.2960166931152344,0.8208139538764954
16,1.9999999949504854e-06,5.837779099238105e-05,0.9999794960021973,1.4833347797393799,0.7823179364204407
17,1.9999999949504854e-06,3.6503221053862944e-05,1.0,1.4182639122009277,0.810129702091217
18,1.9999999949504854e-06,1.7000598745653406e-05,1.0,1.459174633026123,0.7943071722984314
19,4.0000000467443897e-07,2.2499401893583126e-05,1.0,1.3962337970733643,0.8165728449821472
