epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.21210962533950806,0.9403634667396545,0.006052040494978428,0.9991998076438904
1,0.002835917752236128,0.9987996220588684,0.014712700620293617,0.9955321550369263
2,0.005502017214894295,0.9980159997940063,0.011562037281692028,0.9963323473930359
3,0.003568637417629361,0.9990996718406677,0.011069574393332005,0.9965323805809021
4,0.004646307788789272,0.9986328482627869,0.010106037370860577,0.9967324733734131
