epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,9.999999747378752e-06,0.442099004983902,0.9833217263221741,2.009331226348877,0.5237745642662048
1,9.999999747378752e-06,0.03678246587514877,0.9918147325515747,3.107592821121216,0.2824402451515198
2,9.999999747378752e-06,0.00846790336072445,0.9961022734642029,3.66764497756958,0.39246392250061035
3,9.999999747378752e-06,0.01719052344560623,0.9962868690490723,3.3048970699310303,0.4305521547794342
4,1.9999999949504854e-06,0.020034965127706528,0.9931071400642395,1.5432751178741455,0.7187016010284424
5,1.9999999949504854e-06,0.008520267903804779,0.9974356889724731,1.5136533975601196,0.7188646793365479
6,1.9999999949504854e-06,0.0033310374710708857,0.9991999268531799,1.5690964460372925,0.728814959526062
7,1.9999999949504854e-06,0.0017024013213813305,0.9996717572212219,1.6698451042175293,0.731669545173645
8,1.9999999949504854e-06,0.0012512056855484843,0.9998359084129333,1.9474997520446777,0.6914607286453247
9,9.999999974752427e-07,0.0009717490174807608,0.9998564124107361,1.4324824810028076,0.7608677744865417
10,9.999999974752427e-07,0.006775496993213892,0.9998769164085388,1.2802764177322388,0.7752222418785095
11,9.999999974752427e-07,0.0014651059173047543,0.9998769164085388,1.3523004055023193,0.7616834044456482
12,9.999999974752427e-07,0.000614000775385648,0.9999179244041443,1.3669240474700928,0.7536905407905579
13,9.999999974752427e-07,0.00029678569990210235,0.999938428401947,1.1263923645019531,0.7949596047401428
14,9.999999974752427e-07,0.0027045488823205233,0.9999589920043945,1.3377044200897217,0.7625805139541626
15,9.999999974752427e-07,0.00021441107674036175,0.9999179244041443,1.1782937049865723,0.8178778290748596
16,9.999999974752427e-07,0.0002206942008342594,1.0,1.397944688796997,0.7735910415649414
17,9.999999974752427e-07,0.00025758479023352265,0.9999794960021973,1.2562261819839478,0.7919419407844543
18,9.999999974752427e-07,0.00015608881949447095,1.0,1.3832110166549683,0.7683712840080261
