epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,9.999999747378752e-06,0.45997509360313416,0.9851680397987366,1.812504768371582,0.6331457495689392
1,9.999999747378752e-06,0.02559187076985836,0.9933738112449646,2.025594472885132,0.5437566041946411
2,9.999999747378752e-06,0.009799654595553875,0.9960612058639526,2.9637749195098877,0.4791615605354309
3,9.999999747378752e-06,0.013023411855101585,0.9969022870063782,2.9216411113739014,0.512519359588623
4,1.9999999949504854e-06,0.02504531480371952,0.9909325838088989,1.5082004070281982,0.7163363695144653
5,1.9999999949504854e-06,0.009016945026814938,0.9967997670173645,1.4868969917297363,0.7433325052261353
6,1.9999999949504854e-06,0.0032303263433277607,0.999056339263916,1.5042847394943237,0.7629883289337158
7,1.9999999949504854e-06,0.001931727398186922,0.9997948408126831,1.4154655933380127,0.7562189102172852
8,1.9999999949504854e-06,0.0009396962122991681,0.9999179244041443,1.4099295139312744,0.7790555357933044
9,1.9999999949504854e-06,0.0007158321095630527,0.9999179244041443,1.3233928680419922,0.7858249545097351
10,1.9999999949504854e-06,0.0006258831708692014,0.9999589920043945,1.3352071046829224,0.7943887114524841
11,1.9999999949504854e-06,0.000615275523159653,0.999938428401947,1.3234658241271973,0.7912079095840454
12,1.9999999949504854e-06,0.0003109373210463673,0.9999589920043945,1.34999680519104,0.7713074088096619
13,4.0000000467443897e-07,0.0004754932306241244,0.9998769164085388,1.125920057296753,0.830193281173706
14,4.0000000467443897e-07,0.0004248549521435052,1.0,1.1431530714035034,0.8348422050476074
15,4.0000000467443897e-07,0.00017367437249049544,0.9999179244041443,1.1436045169830322,0.8407959938049316
16,4.0000000467443897e-07,0.00024595262948423624,0.9999794960021973,1.153070330619812,0.8295408487319946
17,1.0000000116860974e-07,0.0001712418015813455,0.9999179244041443,1.1290417909622192,0.8252997398376465
18,1.0000000116860974e-07,9.554008283885196e-05,1.0,1.1333376169204712,0.8329663276672363
