epoch,learning_rate,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,9.999999747378752e-06,0.4598989486694336,0.9850449562072754,1.7989082336425781,0.6769431233406067
1,9.999999747378752e-06,0.021555276587605476,0.9934353828430176,1.7179588079452515,0.6147133111953735
2,9.999999747378752e-06,0.010295079089701176,0.9962663650512695,2.496720790863037,0.5847809910774231
3,9.999999747378752e-06,0.005579505581408739,0.9973536133766174,3.4150867462158203,0.4974308907985687
4,9.999999747378752e-06,0.010556737892329693,0.9973741173744202,3.260754108428955,0.5024875402450562
5,1.9999999949504854e-06,0.008186250925064087,0.9962253570556641,1.592673659324646,0.7261234521865845
6,1.9999999949504854e-06,0.0030371248722076416,0.9985434412956238,1.4118255376815796,0.7625805139541626
7,1.9999999949504854e-06,0.0015550835523754358,0.9996922612190247,1.4796931743621826,0.7589103579521179
8,1.9999999949504854e-06,0.0008085663430392742,0.999938428401947,1.407808542251587,0.7905554175376892
9,1.9999999949504854e-06,0.000576292397454381,0.9999589920043945,1.3770840167999268,0.7735095024108887
10,1.9999999949504854e-06,0.0004717529518529773,1.0,1.37795889377594,0.7977326512336731
11,1.9999999949504854e-06,0.0005506339948624372,0.999938428401947,1.4459964036941528,0.7915341258049011
12,1.9999999949504854e-06,0.0002506282180547714,0.9999589920043945,1.552316665649414,0.74961256980896
13,4.0000000467443897e-07,0.0003502981853671372,0.9999794960021973,1.3392400741577148,0.8252997398376465
14,4.0000000467443897e-07,0.00044032762525603175,0.9999794960021973,1.3189551830291748,0.8237500786781311
15,4.0000000467443897e-07,0.00011477184307295829,1.0,1.316336989402771,0.8382676839828491
16,4.0000000467443897e-07,0.00016916956519708037,1.0,1.343319296836853,0.8225266933441162
17,4.0000000467443897e-07,0.00010261197166983038,1.0,1.3311525583267212,0.8191827535629272
18,4.0000000467443897e-07,6.119668978499249e-05,1.0,1.3334829807281494,0.8296223878860474
19,1.0000000116860974e-07,6.230250437511131e-05,1.0,1.3308550119400024,0.8242394328117371
